program_id,model,tool_calls,final_passes,overoz,success,num_passes,benchmark
cbench-v1_rijndael.ll,DeepSeek-V3,3,"[""--instcombine"", ""--loop-deletion"", ""--mergefunc"", ""--aggressive-instcombine"", ""--sroa"", ""--mem2reg"", ""--lower-expect"", ""--simplifycfg"", ""--gvn"", ""--dse"", ""--die"", ""--loop-instsimplify"", ""--sccp"", ""--jump-threading"", ""--licm"", ""--early-cse-memssa"", ""--slsr"", ""--loop-simplifycfg"", ""--dce"", ""--correlated-propagation"", ""--reassociate"", ""--inline""]",0.44872,True,22,cbench-v1
cbench-v1_adpcm.ll,Qwen3-235B,2,"[""--lower-constant-intrinsics"", ""--memcpyopt"", ""--load-store-vectorizer"", ""--early-cse-memssa"", ""--dce"", ""--mergefunc"", ""--licm"", ""--nary-reassociate"", ""--loop-reroll"", ""--sroa"", ""--simplifycfg"", ""--correlated-propagation"", ""--instcombine"", ""--flattencfg"", ""--elim-avail-extern"", ""--newgvn"", ""--early-cse"", ""--reassociate"", ""--slsr"", ""--slp-vectorizer"", ""--sccp"", ""--inline"", ""--die""]",0.61552,True,23,cbench-v1
cbench-v1_bitcount.ll,Qwen3-235B,1,"[""--loop-guard-widening"", ""--gvn"", ""--loop-simplifycfg"", ""--prune-eh"", ""--newgvn"", ""--instcombine"", ""--early-cse-memssa"", ""--instsimplify"", ""--aggressive-instcombine"", ""--sroa"", ""--loop-deletion"", ""--inline"", ""--ipsccp"", ""--simplifycfg"", ""--mem2reg"", ""--lower-constant-intrinsics"", ""--reassociate"", ""--memcpyopt"", ""--dse"", ""--globalopt""]",0.518086,True,20,cbench-v1
cbench-v1_dijkstra.ll,Qwen3-235B,2,"[""--mem2reg"", ""--gvn"", ""--dse"", ""--simplifycfg""]",0.388889,True,4,cbench-v1
cbench-v1_blowfish.ll,Qwen3-235B,1,"[""--mldst-motion"", ""--early-cse-memssa"", ""--lower-constant-intrinsics"", ""--mergefunc"", ""--inline"", ""--simplifycfg"", ""--load-store-vectorizer"", ""--nary-reassociate"", ""--instsimplify"", ""--prune-eh"", ""--jump-threading"", ""--globalopt"", ""--sroa"", ""--sccp"", ""--gvn-hoist"", ""--slp-vectorizer"", ""--elim-avail-extern"", ""--newgvn"", ""--adce"", ""--mem2reg"", ""--dce"", ""--early-cse"", ""--instcombine""]",0.492047,True,23,cbench-v1
cbench-v1_patricia.ll,Qwen3-235B,2,"[""--mem2reg"", ""--simplifycfg"", ""--aggressive-instcombine"", ""--reassociate"", ""--gvn"", ""--dce"", ""--sroa"", ""--prune-eh""]",0.4922,True,8,cbench-v1
cbench-v1_crc32.ll,Qwen3-235B,1,"[""--lower-expect"", ""--loop-instsimplify"", ""--dce"", ""--elim-avail-extern"", ""--gvn"", ""--nary-reassociate"", ""--dse"", ""--ipsccp"", ""--inline"", ""--instcombine"", ""--flattencfg"", ""--load-store-vectorizer"", ""--sccp"", ""--lower-constant-intrinsics"", ""--globalopt"", ""--correlated-propagation"", ""--mergefunc"", ""--simplifycfg"", ""--early-cse"", ""--newgvn""]",0.438017,True,20,cbench-v1
cbench-v1_qsort.ll,Qwen3-235B,3,"[""--mem2reg"", ""--gvn"", ""--dce"", ""--simplifycfg"", ""--ipsccp"", ""--licm"", ""--bdce"", ""--reassociate""]",0.512539,True,8,cbench-v1
cbench-v1_sha.ll,Qwen3-235B,1,"[""--flattencfg"", ""--adce"", ""--elim-avail-extern"", ""--sroa"", ""--bdce"", ""--early-cse"", ""--gvn-hoist"", ""--slsr"", ""--load-store-vectorizer"", ""--die"", ""--loop-instsimplify"", ""--correlated-propagation"", ""--nary-reassociate"", ""--lower-constant-intrinsics"", ""--dce"", ""--jump-threading"", ""--sccp"", ""--licm"", ""--ipsccp"", ""--aggressive-instcombine"", ""--globalopt"", ""--simplifycfg""]",0.498123,True,22,cbench-v1
cbench-v1_stringsearch.ll,Qwen3-235B,2,"[""--mem2reg"", ""--ipsccp"", ""--instcombine"", ""--globalopt"", ""--gvn"", ""--sroa"", ""--simplifycfg"", ""--dce"", ""--die""]",0.507418,True,9,cbench-v1
cbench-v1_stringsearch2.ll,Qwen3-235B,1,"[""--loop-sink"", ""--early-cse-memssa"", ""--reassociate"", ""--slsr"", ""--early-cse"", ""--elim-avail-extern"", ""--globalopt"", ""--gvn"", ""--loop-instsimplify"", ""--newgvn"", ""--mldst-motion"", ""--lower-constant-intrinsics"", ""--dce"", ""--ipsccp"", ""--sroa"", ""--die"", ""--loop-simplifycfg"", ""--simplifycfg"", ""--dse"", ""--inline"", ""--instcombine"", ""--gvn-hoist""]",0.431535,True,22,cbench-v1
cbench-v1_rijndael.ll,Qwen3-235B,1,"[""--mem2reg"", ""--sroa"", ""--instcombine"", ""--gvn"", ""--dse"", ""--dce"", ""--mergefunc"", ""--simplifycfg""]",0.466004,True,8,cbench-v1
cbench-v1_adpcm.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_bitcount.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_dijkstra.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_blowfish.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_patricia.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_crc32.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_qsort.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_sha.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_stringsearch.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_stringsearch2.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
cbench-v1_rijndael.ll,Claude-Sonnet-4,0,[],0.0,False,0,cbench-v1
